phase,horizon_h,family,n,max_difference_m
validation,1,observed_control,6511,0.0
validation,1,augmented,6511,0.0
test,1,observed_control,1944,0.0
test,1,augmented,1944,0.0
validation,2,observed_control,6510,0.0
validation,2,augmented,6510,0.0
test,2,observed_control,1943,0.0
test,2,augmented,1943,0.0
validation,3,observed_control,6509,0.0
validation,3,augmented,6509,0.0
test,3,observed_control,1942,0.0
test,3,augmented,1942,0.0
validation,4,observed_control,6508,0.0
validation,4,augmented,6508,0.0
test,4,observed_control,1941,0.0
test,4,augmented,1941,0.0
validation,5,observed_control,6507,0.0
validation,5,augmented,6507,0.0
test,5,observed_control,1940,0.0
test,5,augmented,1940,0.0
validation,6,observed_control,6506,0.0
validation,6,augmented,6506,0.0
test,6,observed_control,1939,0.0
test,6,augmented,1939,0.0
validation,7,observed_control,6505,0.0
validation,7,augmented,6505,0.0
test,7,observed_control,1938,0.0
test,7,augmented,1938,0.0
validation,8,observed_control,6504,0.0
validation,8,augmented,6504,0.0
test,8,observed_control,1937,0.0
test,8,augmented,1937,0.0
validation,9,observed_control,6503,0.0
validation,9,augmented,6503,0.0
test,9,observed_control,1936,0.0
test,9,augmented,1936,0.0
validation,10,observed_control,6502,0.0
validation,10,augmented,6502,0.0
test,10,observed_control,1935,0.0
test,10,augmented,1935,0.0
validation,11,observed_control,6501,0.0
validation,11,augmented,6501,0.0
test,11,observed_control,1934,0.0
test,11,augmented,1934,0.0
validation,12,observed_control,6500,0.0
validation,12,augmented,6500,0.0
test,12,observed_control,1933,0.0
test,12,augmented,1933,0.0
